Date,Security Description,Symbol,Security,Currency,Currency,Quantity,Average Cost,Book Value,Price,Market Value,% Of Portfolio,Accrued Int. & Pending Dividend,Unrealized Gain/Loss,Unrealized Gain/Loss (%),Estimated Annual Income,Yield (%),Currency,Currency,Account Number,Asset Class L2,Asset Class L1,Account Type,Market Value USD
09/05/2024,UBS BANK USA DEPOSIT,Cash,,USD,USD,"54,722.91",1.00,"54,722.91",1.00,"54,722.91",1.50%,,0.00,0.00%,0.00,0.00%,USD,USD,11 11111,Cash,Cash and Cash Equivalents,None,"54,722.91"
09/05/2024,Total Cash,,,USD,USD,,,"54,722.91",,"54,722.91",1.50%,,0.00,0.00%,0.00,0.00%,USD,USD,11 11111,None,None,None,"54,722.91"
09/05/2024,Total Cash,,,USD,USD,,,"54,722.91",,"54,722.91",1.50%,,0.00,0.00%,0.00,0.00%,USD,USD,11 11111,None,None,None,"54,722.91"
